Year,Ross,King Hakon,East Antarctica,Weddell,Bellinghausen
1980,239.999999998001,231.000000000456,220.000000000948,183.999999999563,166.000000000738
1981,194.999999999154,205.999999998662,215.999999997106,196.000000000053,185.000000000545
1982,180.000000003107,225.999999999367,188.000000003406,171.999999999157,187.999999999754
1983,219.999999997297,193.999999998173,214.999999999859,209.99999999877,159.000000001421
1984,205.000000001332,216.99999999817,204.999999997598,164.99999999984,197.999999998364
1985,217.999999999068,249.000000002933,204.000000000351,180.999999996702,173.000000000138
1986,242.999999997294,232.000000001437,186.999999998773,172.999999996404,192.999999997191
1987,251.000000001244,187.999999999754,167.999999998966,224.000000001139,128.000000001125
1988,231.999999997786,196.000000000053,199.999999996509,186.999999998856,184.999999996893
1989,244.999999999091,223.000000000158,182.999999998665,169.999999997277,194.999999999154
1990,240.000000001736,202.000000002123,231.000000000456,217.000000001739,184.999999996893
1991,206.99999999956,218.00000000272,193.999999998173,166.000000000738,167.999999999049
1992,204.000000000351,224.000000001139,195.000000002806,137.999999999652,196.999999997382
1993,232.000000001437,192.000000003596,233.999999999666,201.000000001142,171.999999999157
1994,201.000000001142,213.000000001548,194.999999999071,162.00000000063,173.000000000138
1995,236.000000001545,229.999999999475,185.000000000545,179.000000002209,159.000000001338
1996,210.999999999668,209.00000000144,212.00000000065,191.999999999862,154.000000000249
1997,225.000000002037,197.999999998281,191.999999999862,227.000000000265,177.000000000246
1998,241.999999999964,217.999999999068,216.00000000084,200.000000000243,204.999999997681
1999,236.999999998792,201.000000001142,232.000000001437,206.000000002231,187.999999999754
2000,198.999999999262,227.000000000265,175.999999999265,209.999999998687,171.999999999157
2001,241.999999999881,228.000000001247,223.000000000158,162.00000000063,183.000000002316
2002,198.000000001932,204.000000000351,219.00000000005,182.000000001335,185.000000000545
2003,168.000000002618,204.999999997681,212.00000000065,151.000000001122,221.999999999176
2004,248.000000001952,206.99999999956,227.000000000348,179.999999999455,209.00000000144
2005,253.000000003124,206.99999999956,174.999999998366,155.00000000123,186.000000001443
2006,218.000000002637,220.000000000948,235.000000000564,196.000000000053,196.999999997382
2007,220.000000000948,220.000000000948,220.000000000948,205.999999998662,177.000000000246
2008,217.000000001739,255.999999998681,229.999999999475,197.000000001034,170.999999998176
2009,231.000000000456,231.999999997786,209.99999999877,196.999999997299,233.999999999666
2010,189.999999997982,202.000000002123,217.000000001739,186.999999998773,174.999999998366
2011,178.999999998557,221.999999999176,214.999999999859,196.000000000053,150.999999997471
2012,212.00000000065,229.999999999558,216.000000000757,205.999999998579,116.999999998048
2013,228.000000001247,227.999999997595,186.000000001526,209.00000000144,164.00000000251
2014,217.999999999068,197.000000001034,213.999999998878,198.000000002015,174.999999998366
2015,190.999999998963,212.00000000065,236.000000001545,228.000000001247,201.000000001142
2016,231.999999997786,236.999999998875,177.999999997493,179.999999999455,151.999999998452
2017,205.999999998579,189.000000000652,214.999999999859,183.999999999646,205.000000001249
2018,200.99999999749,224.000000001056,221.000000001929,159.000000001421,182.999999998665
2019,225.000000002037,210.999999999668,197.000000000951,183.999999999646,160.999999999649
2020,218.999999999967,208.999999997872,217.999999998985,200.00000000016,198.000000001932
2021,254.000000000453,232.999999998767,204.000000000351,193.99999999809,183.999999999563
