Julian Day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average,+2S SD,-2 SD
1,1.35802649015951,1.35584877226019,1.68363760698418,1.46575614199368,1.39200265683518,1.1811211049788,1.39121601419341,1.14263821536864,0.837974456434287,1.28438766136936,1.17345109652378,1.27666299455707,1.09979178786079,1.2975367152806,1.36743246795377,1.41859000628705,1.43417721106697,1.29083143487964,1.36094651588296,1.24811642006697,1.55393403066221,1.22325760078908,1.26201937694893,1.33513395353589,1.26363473204201,1.17591869965102,1.05990896475816,1.25246300132491,1.3722571488563,1.53737221514478,1.38809573209982,1.35553345254133,1.53166158017332,1.3765333183186,1.67351595730498,1.45551402548939,1.29555027647829,1.10222393105142,1.3269749045571,1.17095234741362,1.15108284846018,1.36661158866219,1.31474727830887,1.63434839020695,0.995146166410791
2,1.2755736771733,1.35171220999431,1.67089918785312,1.42379110199368,1.34602317824168,1.1563681909788,1.30626675962299,1.13237542136864,0.80462787506668,1.27519004143114,1.15144670352378,1.29102540165102,1.0818170305178,1.25248269366214,1.34861285107776,1.38678133839655,1.45323819271988,1.27760283587964,1.34823707088597,1.24344000706697,1.49340904791214,1.20847649828357,1.19957342512117,1.31502426594406,1.21262017042442,1.17873965922856,1.09264385906391,1.24393792064451,1.35881280875771,1.53450274839307,1.36455619845782,1.33646755117332,1.50603976842486,1.3584634733186,1.66677931904785,1.41256545776931,1.2443747702289,1.08273266021608,1.3089719581263,1.134730047663,1.16734794746018,1.31586428293814,1.29201895406867,1.6070623697639,0.976975538373442
3,1.21040643541428,1.34854273216587,1.60260960598419,1.37221015723165,1.30912053576451,1.1227549352284,1.25601983601942,1.13905096236864,0.774007127072075,1.24217908543114,1.13565447352378,1.26674913322856,1.07266496630887,1.23887001066214,1.31976096232479,1.36295880728704,1.40850932337276,1.25073394787963,1.31282709857525,1.21701162162244,1.44053163209245,1.19582707985332,1.15108110294665,1.29379675569386,1.19563718584534,1.15588215577351,1.05937267052222,1.24396697164702,1.35076907629717,1.46312549919397,1.35838611978075,1.27926017292481,1.50151809817332,1.32568055782055,1.66916473404785,1.39773051588026,1.23655886147828,1.07566706822074,1.2485114931263,1.11447497867747,1.17931440746018,1.30856907177629,1.26565655334361,1.57174500990314,0.959568096784077
4,1.16439806190189,1.31180857152253,1.54112586494977,1.3576201997389,1.31606404314304,1.08336598203395,1.1931932422117,1.09789425248109,0.746016673409984,1.23527833190416,1.10404423914027,1.22965755533806,1.05414173126707,1.2502765873186,1.31273399639564,1.33837217474392,1.42738046151398,1.26069313842276,1.29581213917332,1.17774504244543,1.40944122147098,1.18185484569176,1.16969084347591,1.28368483032934,1.15954378084534,1.1390383633005,1.04385687625395,1.18685453259213,1.38073509728179,1.41814315787889,1.3382722427388,1.20108025375352,1.45977102349488,1.29422991382055,1.64608514930498,1.35366044739306,1.22764087547828,1.05646199322074,1.2475092159007,1.06976457192598,1.17042365046018,1.28632058077629,1.24232634796632,1.54828545655331,0.936367239379318
5,1.13958544649519,1.27391029679777,1.49955943908689,1.33756515747092,1.27631549311974,1.09933933869381,1.15245527101683,1.06822049612119,0.720560975039918,1.21089753021059,1.06866421324796,1.22111100910457,1.05877716208148,1.22258251038344,1.30539628881115,1.34930063594992,1.35790500289873,1.23742236081664,1.28584897231743,1.13465473962733,1.38013271330083,1.16527863651361,1.11657469452911,1.24953646604057,1.14126668643717,1.1150991653005,1.03304942063534,1.13645794386641,1.34884826888899,1.38507942129643,1.31448693189312,1.18828201488353,1.4065695449878,1.30368453922872,1.6220740880065,1.33543034179313,1.24680912472658,1.04280877722074,1.17624441037371,1.03994414991042,1.15823084989757,1.28223451277629,1.21725360823611,1.51824256368443,0.916264652787796
6,1.1021146179686,1.24381413450848,1.47868711237177,1.33585834180875,1.26715637611974,1.10620860918869,1.11100130609423,1.0574321831848,0.697544492921392,1.19220530565213,1.02209060632804,1.17910534351637,1.05574649964564,1.19584372637371,1.24153376681115,1.31963694137238,1.29280684099288,1.2261858165272,1.3064296235612,1.09843030861874,1.34477186537239,1.1022830707876,1.08724056013515,1.21245326148421,1.11124889942744,1.06830993848938,1.02258235050247,1.08693279167519,1.31970766982451,1.37438084278293,1.30435398089312,1.13676326113205,1.34421790832146,1.27911200482055,1.5727602930065,1.30461870132146,1.22304678072658,1.008169903008,1.18278048986584,1.0074355019007,1.13772798977358,1.26263186693814,1.18956170609557,1.48782180811525,0.891301604075888
7,1.08989995094937,1.22044842469993,1.42875814236205,1.34020632777523,1.20728630350506,1.0808783712284,1.11360955109423,1.04393691073796,0.676871688013916,1.18775765551675,0.9693653576376,1.15234387877351,1.04933452011254,1.1887780862063,1.21044893967944,1.31662089391551,1.28107618658345,1.1819609261405,1.27568607886855,1.10034201826094,1.30354428575771,1.06357209741224,1.03477645013515,1.20796841819513,1.07099481042744,1.05131227132286,0.999354098098301,1.08926587823774,1.29015379354494,1.28620815264802,1.28812383189312,1.10423421013205,1.3280578873942,1.27606353482055,1.57635301183425,1.27894718432146,1.1930344824537,0.982478504953591,1.0995183540978,0.979334051484789,1.14083033743006,1.21878875992841,1.16405186122014,1.46315748593984,0.864946236500443
8,1.07491239175951,1.19188369049876,1.40462437326125,1.28572549993274,1.15536983723218,1.0695049082284,1.0692089936767,1.04663832993914,0.658447021277003,1.1632230682806,0.972074483837555,1.13963969870903,1.03337800257179,1.18214422318806,1.18349091867944,1.29650361474217,1.31151641269321,1.14872067093933,1.28447465186096,1.06649613166912,1.24538887285622,0.996282075608368,1.05617751679161,1.18496782572211,1.02078202471342,1.05940184818047,1.01382812575816,1.07482549923774,1.26354040499909,1.27191260132286,1.26306404198811,1.04378876598475,1.29787150076872,1.27549597082055,1.55097929411658,1.26654927532146,1.1761057320701,0.985396515253567,1.09330231390415,0.944162239259563,1.12334403977358,1.20053680677629,1.14437548835083,1.43955512170981,0.849195854991854
9,1.063408012107,1.15439393908894,1.32615150656588,1.238643992216,1.1191156131733,1.0504033902284,1.06291614551925,1.02289489993572,0.642174953670166,1.1476684208207,0.960015798048902,1.13930964774713,1.03283653655509,1.17635927721714,1.15763618968107,1.28747061041875,1.29691924487229,1.1287902789296,1.21839059332935,1.05867127022404,1.20761234429717,0.956070414297441,1.00497933911657,1.14246120291372,1.01672721371342,1.03954951318047,0.994639888098301,1.05436470349488,1.24110629865866,1.23510522632286,1.23851072247303,1.04344507829796,1.23958134613865,1.27174691882055,1.5184238371263,1.23434480535701,1.1502661310701,0.971435544253567,1.04649909728562,0.899970220259564,1.08556150175816,1.17706860648747,1.11846173379953,1.40273480899642,0.834188658602639
10,1.04449418364536,1.15911995374466,1.28674912485369,1.19521604093274,1.10923604697333,1.03938832566615,1.03243819430874,1.01798303816453,0.627959946152916,1.13661913207008,0.926654967328212,1.13282751851637,1.02622631726183,1.13075043521714,1.12684425275249,1.25240359017923,1.28049108746599,1.12783134436455,1.17287702626115,1.05505134424666,1.17521195368397,0.911514291015084,0.976011700269774,1.10772019119353,1.00441314507812,1.02798636428998,0.972960047098301,1.04335931349488,1.23397129683091,1.18045970832286,1.21387427052128,1.01930922442749,1.22048938613865,1.26306676266191,1.48908100987636,1.22943335005276,1.14287064447828,0.978179518690965,1.04150266546465,0.866274826101577,1.06609797175816,1.14137920058827,1.09805338045938,1.37710598097796,0.819000779940799
