Julian Day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average,+2S SD,-2 SD
1,2.4487882988479,2.60460605572759,3.21440377729623,1.53939032594187,3.06144856675882,2.93814293086659,3.77487867262773,1.57493935517008,3.26896698069916,3.77227811576623,2.77812965991009,2.11079593078532,3.01191332509641,2.80464306512352,2.61118397830889,2.39636895205236,2.62479069653232,1.96504290488522,2.8818360819749,2.95604151317851,2.73763596948114,2.02932533323952,3.21383664752019,3.27808932781741,3.23657833454152,3.06115169486161,2.50596743539773,2.40172368508702,3.43864984143079,3.68123455363127,3.17157206365469,3.58651924259373,3.38144849453399,2.42793245875928,2.86495106175922,2.99694019582133,2.3101249709905,1.3838617110859,1.45981240158956,2.16285619643248,1.96381162623734,2.67857401139721,2.72571722858541,3.96012233884051,1.49131211833031
2,2.21317889448155,2.43948309999347,3.05516135742731,1.45896490794187,2.9694863663201,2.88264666786659,3.65769650677698,1.5406946110996,3.1707121250406,3.6008033047414,2.62840323568272,1.93351980591352,2.92771443374709,2.66862693799051,2.45038072531688,2.32421344294285,2.47767459461718,1.74379175441337,2.74977268361899,2.87445342885989,2.65775073257068,1.85532756640152,3.07747165800353,3.18195766740923,3.09431028915912,2.7948956704614,2.39131335539774,2.28433943383832,3.36478723643079,3.53494905067262,3.0214862884694,3.42110351466068,3.29261481928246,2.25002323575928,2.80210565561902,2.9017960478154,2.17946141337654,1.28541309957921,1.30446368325659,2.02173907425586,1.85219067905851,2.50283627778626,2.5935277193857,3.83014776100583,1.35690767776558
3,2.09232572677672,2.36333433944366,2.85151442329624,1.43325145118285,2.75384208275882,2.77746543007763,3.58512452106626,1.5360766350996,3.06699705130475,3.57872457574141,2.37522762837862,1.86533198157405,2.83990310682887,2.52787359619576,2.35115400061513,2.18884715925925,2.30036383852724,1.61486718086145,2.58133059339156,2.7665249652788,2.5662459178945,1.747609695281,2.97938074370504,3.0783156723797,2.93870074175204,2.50149357801202,2.28908005839773,2.12105326183945,3.29429331545549,3.38211665498016,2.94488108856599,3.21091319619723,3.188659451534,2.02861818003556,2.72818246720039,2.77375519916005,2.07885573049717,1.19789279344003,1.17872894725659,1.87764673950531,1.72523748605852,2.40042825666178,2.47059386461266,3.69600203513246,1.24518569409285
4,1.83822401113359,2.22424334988584,2.70854528529624,1.34559801844214,2.64046545738029,2.73926721294031,3.37373353307672,1.39015115970747,2.95839996411669,3.46415671874141,2.12159551651139,1.72492169680401,2.53232424547083,2.32646921253929,2.11078370045322,2.07523360305237,2.17688052534066,1.47727070508473,2.40083968662142,2.62101381589701,2.49833912433714,1.62579630840152,2.86008209417577,2.98624666878072,2.82234905140147,2.12006029689167,2.17182186004836,1.98175549952555,3.23881451972414,3.2133477454509,2.82107996674267,3.00433352465443,3.14085677679389,1.90646013516967,2.63553479198803,2.64368018609178,1.89998116512716,1.13228319744003,1.08136698466184,1.70585155399405,1.60910941405851,2.29463788336956,2.32617679453819,3.55198648854351,1.10036710053286
5,1.75543764967005,2.16517300274109,2.43516959815913,1.23456060293009,2.35098923769164,2.56534653494031,3.1657544865447,1.26791854994736,2.84549906810149,3.39532289582175,1.99000355034309,1.55631550736133,2.17301667883697,2.16396871553534,2.03083783223139,1.9482234164239,1.97827940570051,1.41196950673727,2.1744759362288,2.49839989217893,2.41159302167401,1.49115687730344,2.6674218120168,2.89676419344676,2.62683589116022,1.84226278632654,2.08965063719336,1.85353589815963,3.17312654917502,3.11792636603336,2.69529955945362,2.73700462561835,3.00501741904384,1.78960394278802,2.43510165349888,2.52470038869172,1.80592733074222,1.06110706234781,1.06788647598615,1.57476371660404,1.48037641062112,2.14418995693374,2.18020908152079,3.37253547584092,0.987882687200647
6,1.54996619939302,2.03812121089989,2.26352624352367,1.12321811359225,2.12963030869301,2.36786497658299,2.95754905084878,1.24200755688376,2.72887256788426,3.28244784291934,1.8847152817822,1.52608732654155,2.02241807665545,2.02491803772357,1.77334335387356,1.8591681084239,1.77018437039423,1.31481391880673,1.96043795898503,2.35011115203004,2.2442946741913,1.39846931283982,2.53545602098955,2.75410243173879,2.43615018616995,1.64762281378071,1.91497893924162,1.75534342809876,3.09345268194153,3.04057303292082,2.56502565191383,2.64172220840599,2.88628619605236,1.73292718067978,2.28531474449888,2.4338991280576,1.73306235690534,1.02942192563703,0.996500352474624,1.48395416849579,1.3440921417451,1.97134485164872,2.04912612594584,3.21314765392792,0.885104597963748
7,1.538561986343,1.94675482419925,2.08910126952683,1.0000797211689,1.94325329523721,2.2044864860051,2.69344600684878,1.18419387827164,2.60909866809006,3.11927715457995,1.77355790154255,1.46184289148627,1.8862923237041,1.86686063393032,1.49216390114077,1.8098754904239,1.65691178489499,1.21906279130302,1.76987690865036,2.22098725080681,2.06924986324451,1.36467956456753,2.40933819688378,2.5982541359782,2.30858004337697,1.47760741963894,1.74907596916109,1.66007206971565,3.01726937838444,2.88940281060065,2.51302715550816,2.49029021480741,2.7832455991865,1.65188447657012,2.10050272167113,2.30848351563896,1.63933371690534,0.994540429388273,0.920378677558648,1.39437185734227,1.2078344787451,1.8279823901468,1.92244573958726,3.04764988804471,0.797241591129802
8,1.40737818089295,1.72892273648903,2.0198089180845,0.945954153468263,1.82793691623721,2.04090334300509,2.48214949918439,1.13904282127164,2.48675557334399,2.97790149210205,1.68479745603413,1.37412323698602,1.75260780668864,1.71674455354215,1.36221436903185,1.73266395396725,1.61143656092371,1.16834074114649,1.63437093230736,2.11653365690156,1.89367559570504,1.31002198739803,2.27369047033309,2.45906108844315,2.16946130821548,1.33632661854401,1.50956072025465,1.54690414603948,2.92513379461985,2.81319697254167,2.43844172165937,2.28212582142544,2.68816104981198,1.55828224000006,1.95939892051364,2.08771352402094,1.58907835479691,0.945100772862373,0.827744935856637,1.31605573104548,1.12805759846729,1.72709658901357,1.80581638509369,2.8945394639207,0.717093306266668
9,1.32908706276641,1.45955150397239,1.78971278477987,0.931303252050361,1.72585068795968,1.89445368200509,2.39574944571705,1.07757473527164,2.36242148827112,2.73898912831122,1.61314392888051,1.36865543098602,1.62322271513322,1.61218185754155,1.25245640639521,1.61593692629066,1.5139322533888,1.13125712678749,1.50274119675631,1.96840928290156,1.78311070870505,1.2555015164759,2.10915599262015,2.30893800019764,2.03413247242816,1.21943619712985,1.34785839244446,1.46108231402837,2.84282640039519,2.68330724381972,2.31786353223824,2.12401850130592,2.62289461160518,1.45697376902385,1.84737866950391,1.92672081298539,1.5500128657969,0.879174658481976,0.769335060056546,1.23939492562348,1.03308151559926,1.62365305019409,1.69192325084945,2.73486087867055,0.648985623028353
10,1.13667565090693,1.3503584578237,1.62045191777987,0.856965516468263,1.68566705582319,1.83110663681005,2.22837030316746,1.05053949377628,2.23667461749654,2.48821033415031,1.54187342177315,1.31687427398602,1.52841716386768,1.55656643506247,1.10310592879085,1.48205808490534,1.40530359710554,1.10419361179984,1.35726854580364,1.82254522184384,1.71010068387729,1.21800011098489,2.05625429346696,2.13323612307243,1.9273494179137,1.12628529164081,1.22732203758844,1.38106695787055,2.67775832446284,2.60897955481523,2.19975915418998,2.04736504830131,2.52114098760518,1.32259620235882,1.73937131315952,1.81630640006028,1.46502590438873,0.788595817652696,0.746959122056545,1.19020700371885,0.971142405599263,1.5141068123409,1.58887901374616,2.59039071094307,0.587367316549244
