Year,Ross,King Hakon,East Antarctica,Weddell,Bellinghausen
1980,114.999999999737,137.999999999652,151.000000001122,197.000000001034,233.999999999666
1981,168.999999999947,152.000000002021,146.000000000033,174.000000001037,150.000000000141
1982,179.999999999455,154.000000000249,173.999999997385,174.000000001037,235.000000000564
1983,154.000000000249,163.000000001529,149.000000002894,162.000000000547,175.999999999265
1984,156.999999999458,141.999999999842,154.000000000332,194.000000001824,160.000000002319
1985,145.000000002703,127.999999997473,179.999999999455,192.000000003596,175.999999999265
1986,127.000000000144,133.999999999544,167.000000001719,185.000000000545,181.000000000437
1987,117.000000001617,170.000000000846,195.000000002806,145.99999999995,217.000000001739
1988,121.000000001808,164.99999999984,159.000000001421,191.000000002532,182.000000001335
1989,128.999999998455,154.999999997578,182.000000001335,177.000000000246,172.000000002809
1990,136.999999998753,151.999999998369,143.000000000741,151.999999998452,183.000000002233
1991,145.000000002703,151.999999998369,168.999999999947,202.000000002123,209.00000000144
1992,161.999999996896,138.999999996981,155.999999998477,215.999999997189,162.000000000547
1993,124.999999998264,170.999999998176,128.000000001208,164.999999999757,228.000000001247
1994,164.99999999984,146.999999997363,178.999999998474,202.99999999937,144.999999999052
1995,139.999999997963,139.000000000633,179.999999999455,194.999999999071,232.999999998767
1996,154.000000000332,151.000000001122,152.000000002104,164.99999999984,196.000000000053
1997,132.999999998563,173.000000000138,181.999999997684,150.000000000141,174.000000001037
1998,133.000000002297,152.99999999935,140.999999998861,150.999999997471,170.000000000929
1999,117.999999998947,144.000000001722,131.000000000334,154.000000000332,205.000000001249
2000,156.999999999541,158.999999997769,187.999999999754,162.00000000063,164.99999999984
2001,131.000000000417,132.999999998646,152.99999999935,212.999999997896,169.999999997194
2002,166.999999998068,167.000000001636,143.000000000741,183.999999999646,187.999999999754
2003,196.999999997382,148.000000001913,155.99999999856,208.999999997789,143.000000000824
2004,120.999999998156,171.999999999157,143.000000000741,189.000000000652,140.999999998944
2005,99.99999999647,144.000000001722,178.000000001227,223.000000000158,200.000000000243
2006,158.999999997769,135.999999997772,131.000000000334,141.999999999842,152.000000002021
2007,140.999999998944,146.000000000033,137.999999999735,164.999999999757,204.000000000351
2008,152.99999999935,114.000000002408,143.000000000824,167.000000001719,198.000000001932
2009,128.000000001125,154.000000000249,151.999999998369,162.00000000063,135.000000000525
2010,185.000000000545,139.999999997963,144.999999999052,180.000000003107,171.000000001827
2011,187.000000002424,144.000000001722,162.00000000063,174.999999998366,278.000000001266
2012,139.999999997963,140.000000001614,129.999999999436,158.00000000044,218.999999999967
2013,139.000000000633,140.999999998861,191.999999999862,152.99999999935,167.999999998966
2014,156.999999999458,168.999999999947,148.999999999243,162.999999997877,194.000000001824
2015,164.00000000251,137.999999999652,127.000000000227,150.000000000141,173.000000000055
2016,133.000000002214,146.000000000033,200.000000000243,164.999999999757,231.000000000456
2017,167.000000001719,170.000000000929,143.000000000741,183.999999999563,136.999999998753
2018,154.000000000332,135.000000000525,150.999999997471,216.999999998087,179.000000002126
2019,144.999999999052,160.999999999649,163.000000001612,179.000000002126,217.999999999068
2020,144.999999999052,148.00000000183,136.999999998753,158.000000000523,138.999999997064
