Year,Ross,King Hakon,East Antarctica,Weddell,Bellinghausen
1980,297.499999999737,287.500000001211,278.499999999931,230.49999999814,220.499999999613
1981,242.499999998629,266.499999999525,280.499999998159,258.499999999226,274.499999999823
1982,226.500000001683,279.500000000912,249.500000001598,239.49999999942,247.499999999718
1983,261.499999998435,262.499999999334,273.499999998842,258.499999999226,276.500000001703
1984,255.500000000017,277.499999999033,262.499999999334,220.499999999613,285.499999999331
1985,265.499999998543,303.500000001808,255.500000000017,230.49999999814,253.500000001789
1986,288.49999999854,298.500000000719,257.499999998245,230.49999999814,257.499999998245
1987,301.499999999928,255.500000000017,227.49999999893,274.499999999823,201.499999999807
1988,285.499999999331,256.500000000915,257.499999998245,242.499999998629,238.499999998438
1989,286.500000000229,279.500000000912,234.49999999833,238.499999998438,250.499999998927
1990,290.50000000042,271.500000000614,282.500000000122,267.500000000423,242.499999998629
1991,269.499999998734,276.500000001703,254.499999999035,220.499999999613,228.499999999912
1992,253.500000001789,287.500000001211,253.500000001789,195.500000001388,269.499999998734
1993,282.500000000122,253.500000001789,278.499999999931,247.499999999718,238.499999998438
1994,243.499999999527,272.500000001512,236.50000000021,209.500000000105,274.499999999823
1995,279.500000000912,284.49999999835,235.499999999229,226.500000001683,213.500000000213
1996,265.499999998543,267.500000000423,262.499999999334,248.500000000616,235.499999999229
1997,279.500000000912,251.499999999826,241.500000001299,275.500000000721,243.499999999527
1998,289.499999999439,277.499999999033,274.499999999823,260.500000001106,257.499999998245
1999,294.500000000528,266.499999999525,282.500000000122,252.500000000807,250.499999998927
2000,246.499999998737,272.500000001512,224.499999999721,251.499999999826,262.499999999334
2001,280.499999998159,294.500000000528,270.499999999632,210.500000001086,245.50000000149
2002,244.500000000509,266.499999999525,277.499999999033,240.500000000318,235.499999999229
2003,214.500000001194,273.499999998842,267.500000000423,210.500000001086,280.499999998159
2004,294.500000000528,263.500000000315,285.499999999331,234.49999999833,267.500000000423
2005,303.500000001808,277.499999999033,238.499999998438,213.500000000213,229.50000000081
2006,256.500000000915,276.500000001703,286.500000000229,267.500000000423,261.499999998435
2007,270.499999999632,267.500000000423,272.500000001512,250.499999998927,225.500000000702
2008,263.500000000315,304.499999999138,275.500000000721,247.499999999718,235.499999999229
2009,282.500000000122,285.499999999331,263.500000000315,246.499999998737,302.500000000827
2010,235.499999999229,276.500000001703,267.500000000423,230.49999999814,247.499999999718
2011,234.49999999833,273.499999998842,262.499999999334,241.500000001299,204.499999999016
2012,268.500000001404,282.500000000122,275.500000000721,257.499999998245,234.49999999833
2013,271.500000000614,285.499999999331,226.500000001683,259.500000000124,252.500000000807
2014,263.500000000315,258.499999999226,267.500000000423,245.50000000149,230.49999999814
2015,246.499999998737,274.499999999823,287.500000001211,271.500000000614,260.500000001106
2016,277.499999999033,284.49999999835,227.49999999893,236.50000000021,220.499999999613
2017,251.499999999826,254.499999999035,277.499999999033,220.499999999613,291.500000001319
2018,254.499999999035,283.50000000102,276.500000001703,198.500000000597,246.499999998737
2019,268.500000001404,264.500000001213,259.500000000124,234.49999999833,221.500000000511
2020,267.500000000423,269.499999998734,275.500000000721,248.500000000616,272.500000001512
2021,301.499999999928,285.499999999331,251.499999999826,235.499999999229,230.49999999814
