Julian Day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average,+2S SD,-2 SD
1,1.95716112702536,2.79546444349528,3.50450429723361,2.9848234996062,3.39700760360212,3.52055068275172,3.88408617396991,3.28038444118514,3.3414316212373,3.26268510435637,3.35392554922042,3.14108266586591,2.87070827523277,3.58537285304954,3.05858216692925,3.13599156816053,3.6735938595617,3.62359157236229,3.22020178697605,4.20838756769628,3.98112517526451,3.29101360018028,3.78308110812213,2.9719954051522,2.90353965808712,3.14516277744344,2.87655894383181,3.14629563589426,3.92833487017058,3.63933182944831,3.03105965340302,4.06445241571732,3.69191448987535,3.08154289023278,3.68655312159981,4.14059276602887,3.14676806962724,2.79392820584055,3.55366376204816,3.23903460585439,3.25944670027442,3.41905716074347,3.3382743529029,4.20445215164986,2.47209655415594
2,1.91298987667729,2.71063178761362,3.43411343023362,2.90948472772453,3.39881994594568,3.49507614075172,3.85207415703156,3.29873422018514,3.29591570606854,3.23005027435637,3.2584593225031,3.11624443044345,2.83998117421413,3.53068506152482,2.99384764092925,3.11731063378441,3.62695884032691,3.5567446001743,3.15733949997605,4.14424048634028,3.94286151284289,3.21484015096964,3.716421533864,2.90827567470636,2.86646814008712,3.09213205401181,2.78151378852606,3.11590202612883,3.91412052936512,3.60046115945699,3.03089208688473,4.01447844890123,3.49981685287535,3.03643750071238,3.66365012714049,4.12551350619474,3.12209858519876,2.76360995166616,3.49478048687013,3.1450458198544,3.19614727471568,3.30258772577478,3.28769782810987,4.15509963112507,2.42029602509467
3,1.90327728376722,2.67388611814331,3.38617237215733,2.79546399524558,3.28973753110225,3.40014621161449,3.86035731134585,3.29873422018514,3.25161460623085,3.18315876164386,3.17005544848342,3.06089640229536,2.77649393371238,3.48854328179396,2.93333275601813,3.05999539316052,3.53940158922445,3.4661498411743,3.11731312089435,4.10006411878481,3.85573295726341,3.12871784039989,3.67485767267742,2.88237837050397,2.82488899198523,3.03780095632095,2.75051376673753,3.05401116438414,3.88922695579127,3.5696653740789,3.01157280192862,3.94224278614975,3.48257182487535,2.98307569880226,3.62037782401688,4.09928700919474,3.09227057182935,2.69204271528539,3.42154819196005,3.07356441404253,3.18873513971568,3.20938165150125,3.23597799678126,4.10100897418048,2.37094701938203
4,1.86720621010736,2.58826594540695,3.36318106918306,2.71675101124558,3.24694147510225,3.35280639294625,3.79203003076864,3.19477572387285,3.20841973530246,3.13898609417085,3.12254608364611,3.02931880140897,2.72108990823937,3.44040680092811,2.82445065508778,2.99624046170365,3.49065172205292,3.37445626832646,3.08279014497605,4.04572911365051,3.79060642399428,3.06067629511562,3.63254372867742,2.8482147461522,2.77686776298524,2.94119544293988,2.7239106410058,3.01947140202561,3.82492665230471,3.56009606729266,2.96465825488791,3.87794407596955,3.37031127840235,2.91517227380226,3.58928748075974,4.0621266687502,3.06464611963429,2.62180984392939,3.35814182234264,3.02478997006315,3.16864023671568,3.17843839949257,3.18219009757,4.0481473464652,2.31623284867479
5,1.87317896301744,2.53163251549854,3.31330617581366,2.67530081998746,3.15802566112554,3.23592916321789,3.77741955868923,3.08539074823274,3.16622250686161,3.06614712364386,3.05977258911618,2.96778410240897,2.61854275723937,3.36449029094842,2.76307443027997,2.95541818801917,3.40637012580199,3.27168282324008,3.00875772330269,4.02809766320925,3.76451139054974,3.00222536636772,3.60486750567742,2.82292252224949,2.73620311198524,2.90487304793988,2.66143366462441,2.96943280688336,3.78548513964935,3.50830816029265,2.90135805681028,3.82921881021807,3.22904671365949,2.79823025380225,3.53252251353767,4.0138288697502,3.01879600797781,2.57139682921688,3.28904269406157,2.95037778720906,3.15536614371568,3.11606603012316,3.1229810847897,3.99071999614988,2.25524217342952
6,1.8393339577333,2.53837910505518,3.28018545753745,2.60012283341361,3.132409170842,3.16880535449745,3.69442917618943,3.06760989123274,3.12491433448655,2.97793939389238,3.02492250211618,2.96127981212115,2.56826450175976,3.26358689561586,2.74547218527997,2.88635202741409,3.36257831410612,3.25950407454223,2.93634634330269,3.95532414881864,3.69448326518279,2.93106685308852,3.58177371114667,2.76925128869533,2.69798564898523,2.8574727951884,2.59461296330384,2.91230559799054,3.76426910471581,3.38455981861563,2.88082359181028,3.81582921296955,3.1907638059473,2.73168471808974,3.47581228823936,3.97332019462756,2.98332724124699,2.52620482222153,3.24218959037424,2.85355940520906,3.06487943571569,3.07934016049711,3.07164467848418,3.93614707472109,2.20714228224727
7,1.80823458731391,2.56720638540818,3.22107541734946,2.55221936287049,3.05068159712554,3.10327262445775,3.66502922737067,2.99076475379017,3.0843866317555,2.91047072424839,2.97030668488328,2.90865186198235,2.48586301471239,3.15423497289126,2.6824597239871,2.84233015587479,3.30973050567951,3.19858270479423,2.86354844212481,3.93004049221042,3.63117501018279,2.87613146756812,3.56996615814667,2.73373053436852,2.67373573570603,2.80893008851447,2.49563800370801,2.8665371704965,3.71312776733976,3.37334519644831,2.86020783381028,3.77893794079105,3.03955576662756,2.66010212773374,3.41394706352685,3.9565332949473,2.9578703372507,2.46855038100713,3.16142686896425,2.71421413823235,3.02226465005921,3.02429037676625,3.01659099026746,3.88957685710068,2.14360512343424
8,1.75602288509489,2.52857875560935,3.19317694189258,2.46426098041361,3.05000393239842,3.08429085525849,3.58158496518943,2.968718946589,3.04453081224671,2.88264948824839,2.90697325484652,2.89852999221118,2.3822623182484,3.07369677004168,2.63071212503634,2.77567803087478,3.24109704250796,3.13403703684646,2.82921224950476,3.8723044862186,3.57131362220213,2.81990196289622,3.53270105757282,2.68558172551636,2.64126932370603,2.77780578965686,2.41991300704815,2.8159817701405,3.66371125896994,3.33513357764948,2.81387490988791,3.77184511393834,2.84541001894731,2.57959143264551,3.31804583542799,3.9034191089473,2.92868432863429,2.42006651121886,3.11298264846138,2.61416546408146,2.91572916339595,2.9884589689281,2.96113934121201,3.8422551998931,2.08002348253092
9,1.7255304537474,2.51452548360934,3.16697567889258,2.42364998712211,2.91399002357091,2.98642613754598,3.5547410759387,2.88339406324065,3.00523828953842,2.8505012969609,2.89685666484652,2.89771202917307,2.29164811606936,3.02178355118275,2.60330592785947,2.71332559693117,3.20789453597222,3.07134457584647,2.7622136739884,3.79051524611362,3.52211111823496,2.75749400284019,3.51401051482996,2.64656985687831,2.61799393470603,2.7761706438888,2.35623543798521,2.80521389923936,3.6238572746595,3.27306276864948,2.75251154182413,3.71747749501046,2.6577622651261,2.53141091896525,3.22607152633976,3.87022730050604,2.86908997604938,2.38435650259498,3.04126953648397,2.42029037277345,2.88034252041138,2.9176923572072,2.90651795351147,3.79082326822974,2.02221263879319
10,1.6760315799509,2.43652619675173,3.16242642487391,2.33401356641361,2.81253354301185,2.92517779824555,3.46636546705703,2.85693146024065,2.96640047720886,2.7876755499609,2.82441976720506,2.87607319140383,2.22869783075014,2.99680710120958,2.58503659559275,2.65180155160657,3.14808342181365,2.95242372753412,2.62910935314405,3.70731223201509,3.4751849152543,2.71279795648419,3.44819627438413,2.59552421626647,2.60403919206287,2.7633259888888,2.31749123098521,2.74102313940375,3.5752964746595,3.23465413728008,2.69637225994246,3.67505277605942,2.48768614204799,2.46956349712389,3.13478472865949,3.88298693063686,2.77053858390347,2.34505177359498,3.01306124671998,2.22494743054021,2.84764941241138,2.87436417899945,2.84606555397147,3.7480259441403,1.94410516380265
