Julian Day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average,+2S SD,-2 SD
1,3.39420119342565,3.56103898528654,3.01321469510043,3.09807341877494,2.92358564722094,3.08011872469747,2.98076156902042,3.1829232460007,3.02329593058775,3.15406715989288,2.72498761083084,2.95195275291824,3.51886483602244,3.01689598127732,3.04066318945963,3.14575780453012,3.109624223274,2.84620842159942,3.5764638941199,2.41079844598618,2.95772382642428,3.31041858029492,2.07893614526484,3.35811623332452,3.08680017770415,2.99641376450485,3.209104118968,2.98126649193984,3.20104673131013,3.05929370857632,2.95485780561028,2.48668693775931,3.10444968530643,3.3892725997063,3.34908655787754,3.34907876122976,3.33639758051842,2.70325611901743,3.0132806933528,2.86996302916634,2.81127369644181,3.18808423013926,3.04856300141166,3.65624261796168,2.44088338486164
2,3.38853609377821,3.49838890913293,2.99533164559631,3.05772693777494,2.90397492672877,3.08904955302604,2.95712421909068,3.17276164332597,2.9608511438576,3.11055045473125,2.71212629905821,2.94552725184288,3.48660816271475,2.99067161254754,3.03046208032766,3.16895642785306,3.0805720179931,2.82059302307127,3.52889373139316,2.38835722757248,2.86837061608481,3.30417959429493,2.06939556960926,3.37554106494916,3.08931759070415,2.99307405990506,3.178917665968,2.9592108965128,3.21256427231013,3.07363400088117,2.96753055173378,2.48784830419448,3.10098818430643,3.3970626767063,3.32833699401775,3.33055391687814,3.32426186035297,2.67809842512579,2.99430837709394,2.83075140209357,2.74338006462064,3.15860517190901,3.02931314190627,3.63888622807017,2.41974005574237
3,3.37647431837384,3.45673949871234,2.94593496272809,3.02423409918741,2.87904784420355,3.07204724780561,2.95943667209068,3.13442320932597,2.89549961298941,3.10423089197555,2.69560251536231,2.92206694556787,3.46306894512319,2.9830856927478,3.02669153138663,3.16888907464618,3.05044992150196,2.79526946358532,3.50187781717049,2.33012736115356,2.71927533272311,3.28610947641544,2.06501084732419,3.36605373608256,3.08095214819185,2.98710497766713,3.150483738968,2.94950356725385,3.20747553074595,3.05430869526043,2.97490346708382,2.47206906526524,3.10356413689837,3.3970726158382,3.3145277688868,3.33287438042255,3.34227910698296,2.65552919226497,2.95176905709394,2.68468539486754,2.74734211962064,3.15277558944154,3.00691533191792,3.62901906461227,2.38481159922357
4,3.27473127105745,3.4122501133596,2.88123679663645,2.99051933669571,2.85564971489667,3.06935096908704,2.90513274357876,3.03242437020149,2.82756650050755,3.05521611897555,2.65660793536231,2.90136509653688,3.42558110971475,2.97290216874781,2.9891429473388,3.14113693181519,3.00709739521476,2.79136649639992,3.48024246959107,2.30397615902183,2.63121909693981,3.24752211817531,2.06060192364713,3.36886633855837,3.05981445206413,2.98386902878748,3.11609488831738,2.91394157918826,3.19285693907023,3.01969231526043,2.96608489811575,2.43092776785034,3.09209323419799,3.39090933870409,3.31046333079942,3.32061035601449,3.34593670935297,2.62240941467302,2.92768723469841,2.65466349634093,2.68818885782965,3.11245799373376,2.97493331344039,3.60040809607672,2.34945853080406
5,3.20005206552168,3.37615798380819,2.81051868719267,2.97496461079664,2.85295208530026,3.0559430354001,2.86895263621833,2.95583288385304,2.75737696893644,3.00677706311575,2.59305201567366,2.88136185742152,3.3875570775342,2.9540019114842,2.95771437957633,3.153681537568,2.97484117422519,2.75931930574738,3.47305711069532,2.21554292255801,2.50941373189468,3.21567981323101,2.07533464875291,3.35686231363797,3.03635457571355,2.97841440603992,3.08110349185969,2.8479165333341,3.19504841743461,3.01249904862311,2.95156893832811,2.40351677850788,3.11279255719799,3.39085918567757,3.34063263858706,3.31417253401449,3.32944052214608,2.52971210776525,2.89182371337411,2.57422538874649,2.55852489350502,3.11025208316959,2.94153235491682,3.59820664359915,2.28485806623448
6,3.1957365536762,3.34927102671234,2.72692236854324,2.93655506149219,2.86674210529889,3.07715882085686,2.85612208446553,2.94628386085304,2.68525618080049,2.97555935332811,2.54771284115446,2.86013903901655,3.39398398815156,2.93780027226286,2.9351663296491,3.12898013056799,2.95616510201485,2.73357883854489,3.41838915369533,2.18284823388497,2.45102421904778,3.14139525942064,2.05941183532419,3.34178468290231,3.01251318895785,2.95791164814836,3.06283759612412,2.79706535314188,3.20179056831013,2.99097276793485,2.9507463598679,2.38628633560062,3.09802431015994,3.39439682419399,3.36232752413664,3.29345806215469,3.28819323198296,2.46775245727605,2.8372171289235,2.51903264358316,2.49057305062063,3.05769517445461,2.9145244403985,3.58721557388861,2.24183330690838
7,3.15635360544997,3.31277787142271,2.60571766954981,2.90032036249219,2.86607315096131,3.01505371377659,2.85366794118423,2.93585304441324,2.61152929862408,2.95976059680289,2.53211731908456,2.87209370024173,3.384120525163,2.9312078103792,2.91469108310554,3.07377511485307,2.96626302309614,2.68081876680031,3.38114531026528,2.12930004688846,2.36421087260926,3.0852438700683,2.03052900275291,3.32669180828818,3.00829891175082,2.94371431341411,3.02466537189196,2.75114957714961,3.20141241543461,2.97208704259141,2.93407381927357,2.30768117231883,3.08583334695305,3.37839878530365,3.39114792113664,3.26847884698139,3.26884648585118,2.41805434058387,2.81001722726844,2.4594710544106,2.44921843962064,3.0315266425582,2.8839163436603,3.58230866802442,2.18552401929618
8,3.03411358745769,3.25248565528654,2.56706031730214,2.86349287249219,2.87553255196131,3.00409461232556,2.82477994926615,2.91462927941324,2.53652148493163,2.94021973451695,2.50048052914228,2.86341308615003,3.3911311484707,2.88696419243454,2.88451630653872,3.02368603519799,2.92806790550154,2.63873676824191,3.33253897861586,2.07802144230428,2.35797427932796,3.04878714771357,1.99190061260926,3.29114733553759,3.01470225262634,2.92713663650904,2.9768948767984,2.69772248820115,3.17768508443461,2.90993944873155,2.92088007494975,2.2789837627008,3.08599779436111,3.3304263528737,3.38859764275467,3.26382065259942,3.23968271195962,2.40474000580979,2.73248149952811,2.41112643170739,2.39182048889845,2.92985795968171,2.8483818484448,3.55342346841958,2.14334022847002
9,2.96352099886553,3.17437088821301,2.52284191486828,2.84488336949219,2.85112651423884,2.95255559169279,2.81239412722778,2.9001282128815,2.46055790224753,2.92979528976768,2.48043887108456,2.85459893315003,3.39793268622185,2.81691898556792,2.82124559525751,3.00009643916012,2.92585185168583,2.59363408332557,3.29272864116982,2.05017353638553,2.30797040032796,3.00305692729016,1.9685429847401,3.27487556534076,3.02547785852388,2.9080850489232,2.92411172260859,2.68977348483689,3.18330448531013,2.90656761709083,2.91091685494975,2.23063678831538,3.08093465319799,3.27927203284992,3.40187849620508,3.26903513519136,3.22032391795962,2.29556538751446,2.67215090792014,2.37926238312939,2.30868789604778,2.81267866251092,2.81522220758074,3.5396326345239,2.09081178063759
10,2.76712982672501,3.08454158240998,2.51784392886828,2.81351517549219,2.85236557454241,2.91975585295061,2.73716771177532,2.89672498856314,2.38396371309619,2.9131314826792,2.45624630207446,2.81982331090574,3.40054145960162,2.77732098196574,2.76034076405718,2.95717762848306,2.90805606490238,2.47589903087088,3.21925943174914,1.99228317668755,2.24759762660926,2.94912012806352,1.95129462777797,3.27049812023607,2.98246273924149,2.88840685130274,2.86121937946461,2.65805548788239,3.17689718507023,2.92413806745799,2.89917777094975,2.19020160532,3.07968386319799,3.23026050751494,3.37086449379941,3.2586555696499,3.20724855295963,2.16870417890634,2.59564386992014,2.34387902965546,2.22876039829523,2.7462591413641,2.77223685642319,3.51792852005423,2.02654519279216
